key,location.lat,location.long,location.pcode,location.name,so2,no2,pm25,co,o3,aqi
1,45.2977605,85,21051 CEDEX,Dijon,709.72,269.959,293.344,38.997,144.185,886.948
2,50.0751139,42,32-084,Morawica,228.917,34.102,59.496,16.182,357.105,814.53
3,43.8345697,16,,Ergong,616.721,51.959,288.051,17.368,240.614,361.938
4,13.5292779,23,,Telpaneca,1501.32,148.028,243.538,32.904,691.178,515.868
5,10.5388499,49,,Kusheriki,1621.407,129.101,132.528,26.682,693.722,848.43
6,25.493594,30,,Xunzhong,1566.004,49.387,261.298,31.94,90.205,538.328
7,54.4676703,73,301382,Novogurovskiy,1110.678,75.201,52.412,13.928,738.45,684.672
8,24.1477358,65,,Tucheng,468.987,104.199,272.156,7.09,102.254,310.447
9,28.165293,85,,Ganjiang,1618.243,325.263,265.407,4.721,259.05,442.713
10,-1.8703308,65,,Tanahgrogot,83.729,364.599,278.547,34.382,720.427,151.506
11,28.578756,73,,Jiakexi,717.608,301.428,189.77,17.68,506.905,765.281
12,38.408587,75,45600,Yeniköy,757.138,231.392,223.682,10.713,647.002,214.139
13,-8.9066345,84,,Romba,416.092,45.449,241.571,35.363,448.488,176.513
14,39.765701,23,,Zhaogezhuang,508.636,49.337,227.38,9.285,607.39,856.156
15,-23.3866812,52,18720-000,Paranapanema,361.534,191.504,79.871,19.999,587.624,262.331
16,-17.308611,85,75200-000,Pires do Rio,781.545,67.505,109.337,37.713,634.919,614.658
17,-8.736,59,,Pondokkaha Kelod,1182.647,426.477,281.299,24.025,674.047,364.936
18,51.1811979,42,55-320,Malczyce,1163.932,19.359,156.551,26.857,474.766,630.905
19,-6.2035969,29,,Nihaona,1255.873,363.752,183.455,8.945,344.67,470.746
20,22.826877,75,,Zhongdeng,1066.375,242.571,289.615,2.078,561.537,395.739
21,13.9802139,34,,Koungheul,892.666,442.827,102.077,12.968,717.017,459.097
22,45.35008,68,V9J,Waterloo,535.022,52.711,76.029,29.008,96.451,601.628
23,-24.5551012,76,,Metsemotlhaba,822.075,339.099,205.936,35.316,315.093,158.213
24,22.529403,35,,Hekou,880.725,217.079,185.777,38.135,365.255,771.607
25,39.8286394,14,,Sil-li,1033.326,267.44,237.193,9.139,573.591,211.294
26,51.50008,50,N3S,Outlook,509.426,312.35,177.048,18.04,173.735,558.606
27,-23.3196141,55,,Rehoboth,1307.813,66.367,39.202,18.856,550.331,747.059
28,37.8315403,42,,Gapyeong,1005.076,361.433,155.083,12.865,642.824,223.828
